Goals,Total,Fact
1,1,"Assist:Max Aarons"
1,1,"Assist:Romain Saïss"
1,1,"Assist:Yerry Mina"
1,1,"Assist:David Luiz"
1,1,"Assist:Adam Webster"
1,2,"Assist:Jeff Hendrick"
1,1,"Assist:Dominic Calvert-Lewin"
1,1,"Assist:Dan Gosling"
1,1,"Assist:Chris Wood"
1,1,"Assist:Ben Mee"
1,2,"Assist:Bernard"
1,1,"Assist:Lucas Torreira"
1,1,"Assist:Shkodran Mustafi"
1,1,"Assist:Dominic Solanke"
1,2,"Assist:Ezri Konsa"
1,1,"Assist:Alisson"
1,2,"Assist:Dennis Praet"
1,1,"Assist:Cédric Soares"
1,1,"Assist:Gary Cahill"
1,3,"Assist:Sergio Agüero"
1,2,"Assist:Juan Mata"
1,1,"Assist:Cheikhou Kouyaté"
1,1,"Assist:İlkay Gündoğan"
1,3,"Assist:Lewis Dunk"
1,1,"Assist:Adam Lallana"
1,1,"Assist:Calum Chambers"
1,1,"Assist:Luka Milivojević"
1,1,"Assist:Nathaniel Chalobah"
1,1,"Assist:Connor Wickham"
1,1,"Assist:Pierre Højbjerg"
1,1,"Assist:James Tomkins"
1,1,"Assist:Divock Origi"
1,2,"Assist:Jefferson Lerma"
1,1,"Assist:Christoph Zimmermann"
1,1,"Assist:Dale Stephens"
1,1,"Assist:Jan Vertonghen"
1,1,"Assist:Javier Manquillo"
1,1,"Assist:Dejan Lovren"
1,1,"Assist:James Justin"
1,1,"Assist:Ahmed Elmohamady"
1,1,"Assist:Kenny McLean"
1,2,"Assist:Matt Targett"
1,2,"Assist:Miguel Almirón"
1,1,"Assist:Scott Dann"
1,1,"Assist:Callum Robinson"
1,1,"Assist:Andros Townsend"
1,1,"Assist:Ryan Bertrand"
1,1,"Assist:Harry Maguire"
1,2,"Assist:Jorginho"
1,1,"Assist:Martín Montoya"
1,1,"Assist:Adam Smith"
1,1,"Assist:Andriy Yarmolenko"
1,1,"Assist:Jack O'Connell"
1,1,"Assist:Daryl Janmaat"
1,1,"Assist:Raheem Sterling"
1,2,"Assist:Marcos Alonso"
1,1,"Assist:Martin Kelly"
1,1,"Assist:Séamus Coleman"
1,2,"Assist:Nathan Aké"
1,1,"Assist:Sébastien Haller"
1,1,"Assist:Matthew Lowton"
1,1,"Assist:Trézéguet"
1,1,"Assist:Hamza Choudhury"
1,1,"Assist:Aaron Ramsdale"
1,1,"Assist:Philip Billing"
1,1,"Assist:Matěj Vydra"
1,1,"Assist:Solly March"
1,1,"Assist:Mattéo Guendouzi"
1,1,"Assist:Arthur Masuaku"
1,1,"Assist:Kevin Danso"
1,1,"Assist:Scott McTominay"
1,3,"Assist:Ben Chilwell"
1,1,"Assist:Will Hughes"
1,1,"Assist:Çağlar Söyüncü"
1,1,"Assist:Jeffrey Schlupp"
1,1,"Assist:Jota"
1,2,"Assist:Todd Cantwell"
1,1,"Assist:Érik Lamela"
1,2,"Assist:Manuel Lanzini"
1,1,"Assist:Moussa Sissoko"
