Date,Home,Away,Goal Scorer,Minute Scored,Team
2019-12-26,"Everton","Burnley","Dominic Calvert-Lewin",80,"Everton"
2019-09-15,"Watford","Arsenal","Roberto Pereyra (P)",81,"Watford"
2019-09-22,"Arsenal","Aston Villa","Calum Chambers",81,"Arsenal"
2020-01-22,"Leicester City","West Ham","Ayoze Pérez (P)",81,"Leicester City"
2020-02-24,"Liverpool","West Ham","Sadio Mané",81,"Liverpool"
2020-07-12,"Tottenham","Arsenal","Toby Alderweireld",81,"Tottenham"
2019-10-27,"Newcastle Utd","Wolves","Sean Longstaff",82,"Newcastle Utd"
2019-11-23,"Crystal Palace","Liverpool","Wilfried Zaha",82,"Crystal Palace"
2019-12-29,"Manchester City","Sheffield Utd","Kevin De Bruyne",82,"Manchester City"
2020-01-18,"Manchester City","Crystal Palace","Sergio Agüero",82,"Manchester City"
2020-06-23,"Tottenham","West Ham","Harry Kane",82,"Tottenham"
2020-07-11,"Watford","Newcastle Utd","Troy Deeney (P)",82,"Watford"
2019-11-30,"Southampton","Watford","James Ward-Prowse",83,"Southampton"
2019-12-21,"Newcastle Utd","Crystal Palace","Miguel Almirón",83,"Newcastle Utd"
2020-07-12,"Bournemouth","Leicester City","Jonny Evans (OG)",83,"Bournemouth"
2019-09-22,"West Ham","Manchester Utd","Aaron Cresswell",84,"West Ham"
2019-09-22,"Arsenal","Aston Villa","Pierre-Emerick Aubameyang",84,"Arsenal"
2019-11-02,"Brighton","Norwich City","Shane Duffy",84,"Brighton"
2019-11-10,"Wolves","Aston Villa","Raúl Jiménez",84,"Wolves"
2019-12-07,"Everton","Chelsea","Dominic Calvert-Lewin",84,"Everton"
2020-01-01,"Brighton","Chelsea","Alireza Jahanbakhsh",84,"Brighton"
2020-01-21,"Chelsea","Arsenal","César Azpilicueta",84,"Chelsea"
2020-02-09,"Sheffield Utd","Bournemouth","John Lundstram",84,"Sheffield Utd"
2020-07-22,"Liverpool","Chelsea","Alex Oxlade-Chamberlain",84,"Liverpool"
2020-07-26,"Southampton","Sheffield Utd","Danny Ings (P)",84,"Southampton"
2019-09-14,"Sheffield Utd","Southampton","Billy Sharp",85,"Sheffield Utd"
2019-09-21,"Leicester City","Tottenham","James Maddison",85,"Leicester City"
2020-06-25,"Southampton","Arsenal","Jack Stephens",85,"Southampton"
2020-07-26,"West Ham","Aston Villa","Andriy Yarmolenko",85,"West Ham"
2019-08-10,"Tottenham","Aston Villa","Harry Kane",86,"Tottenham"
2019-10-19,"Tottenham","Watford","Dele Alli",86,"Tottenham"
2019-11-02,"Manchester City","Southampton","Kyle Walker",86,"Manchester City"
2019-12-04,"Wolves","West Ham","Patrick Cutrone",86,"Wolves"
2019-12-08,"Newcastle Utd","Southampton","Federico Fernández",87,"Newcastle Utd"
2020-01-18,"Manchester City","Crystal Palace","Sergio Agüero",87,"Manchester City"
2020-07-12,"Bournemouth","Leicester City","Dominic Solanke",87,"Bournemouth"
2020-07-16,"Everton","Aston Villa","Theo Walcott",87,"Everton"
2019-11-30,"Newcastle Utd","Manchester City","Jonjo Shelvey",88,"Newcastle Utd"
2020-02-08,"Everton","Crystal Palace","Dominic Calvert-Lewin",88,"Everton"
2019-08-24,"Manchester Utd","Crystal Palace","Daniel James",89,"Manchester Utd"
2019-12-27,"Wolves","Manchester City","Matt Doherty",89,"Wolves"
2020-07-01,"West Ham","Chelsea","Andriy Yarmolenko",89,"West Ham"
2020-07-05,"Liverpool","Aston Villa","Curtis Jones",89,"Liverpool"
2019-10-06,"Arsenal","Bournemouth","David Luiz",9,"Arsenal"
2019-10-27,"Arsenal","Crystal Palace","David Luiz",9,"Arsenal"
2020-02-16,"Aston Villa","Tottenham","Toby Alderweireld (OG)",9,"Aston Villa"
2020-02-24,"Liverpool","West Ham","Georginio Wijnaldum",9,"Liverpool"
2019-08-10,"Tottenham","Aston Villa","Harry Kane",90,"Tottenham"
2019-08-23,"Aston Villa","Everton","Anwar El Ghazi",90,"Aston Villa"
2019-08-25,"Wolves","Burnley","Raúl Jiménez (P)",90,"Wolves"
2019-09-28,"Crystal Palace","Norwich City","Andros Townsend",90,"Crystal Palace"
2019-10-05,"Liverpool","Leicester City","James Milner (P)",90,"Liverpool"
2019-10-19,"Everton","West Ham","Gylfi Sigurðsson",90,"Everton"
2019-10-19,"Aston Villa","Brighton","Matt Targett",90,"Aston Villa"
2019-10-26,"Brighton","Everton","Lucas Digne (OG)",90,"Brighton"
2019-11-23,"Arsenal","Southampton","Alexandre Lacazette",90,"Arsenal"
2019-11-24,"Sheffield Utd","Manchester Utd","Oliver McBurnie",90,"Sheffield Utd"
2019-12-01,"Leicester City","Everton","Kelechi Iheanacho",90,"Leicester City"
2019-12-04,"Leicester City","Watford","James Maddison",90,"Leicester City"
2019-12-14,"Liverpool","Watford","Mohamed Salah",90,"Liverpool"
2019-12-26,"Crystal Palace","West Ham","Jordan Ayew",90,"Crystal Palace"
2020-01-18,"Newcastle Utd","Chelsea","Isaac Hayden",90,"Newcastle Utd"
2020-01-19,"Liverpool","Manchester Utd","Mohamed Salah",90,"Liverpool"
2020-01-21,"Aston Villa","Watford","Tyrone Mings",90,"Aston Villa"
2020-02-22,"Southampton","Aston Villa","Stuart Armstrong",90,"Southampton"
2020-03-08,"Manchester Utd","Manchester City","Scott McTominay",90,"Manchester Utd"
2020-06-17,"Manchester City","Arsenal","Phil Foden",90,"Manchester City"
2020-06-20,"Watford","Leicester City","Craig Dawson",90,"Watford"
2020-06-20,"Brighton","Arsenal","Neal Maupay",90,"Brighton"
2020-07-08,"Sheffield Utd","Wolves","John Egan",90,"Sheffield Utd"
2020-07-15,"Burnley","Wolves","Chris Wood (P)",90,"Burnley"
2020-07-26,"Leicester City","Manchester Utd","Jonny Evans",90,"Leicester City"
