Date,Home,Away,Goal Scorer,Minute Scored,Team
2019-12-21,"Manchester City","Leicester City","İlkay Gündoğan (P)",43,"Manchester City"
2020-06-21,"Aston Villa","Chelsea","Kortney Hause",43,"Aston Villa"
2020-06-22,"Manchester City","Burnley","Riyad Mahrez",43,"Manchester City"
2020-07-04,"Chelsea","Watford","Willian (P)",43,"Chelsea"
2020-07-05,"Burnley","Sheffield Utd","James Tarkowski",43,"Burnley"
2020-07-09,"Everton","Southampton","Richarlison",43,"Everton"
2019-09-22,"West Ham","Manchester Utd","Andriy Yarmolenko",44,"West Ham"
2019-10-26,"West Ham","Sheffield Utd","Robert Snodgrass",44,"West Ham"
2019-11-09,"Burnley","West Ham","Chris Wood",44,"Burnley"
2020-02-01,"Bournemouth","Aston Villa","Nathan Aké",44,"Bournemouth"
2020-02-22,"Crystal Palace","Newcastle Utd","Patrick van Aanholt",44,"Crystal Palace"
2020-06-24,"Manchester Utd","Sheffield Utd","Anthony Martial",44,"Manchester Utd"
2020-06-24,"Liverpool","Crystal Palace","Mohamed Salah",44,"Liverpool"
2020-07-15,"Arsenal","Liverpool","Reiss Nelson",44,"Arsenal"
2020-07-26,"Burnley","Brighton","Chris Wood",44,"Burnley"
2019-09-30,"Manchester Utd","Arsenal","Scott McTominay",45,"Manchester Utd"
2019-10-19,"Leicester City","Burnley","Jamie Vardy",45,"Leicester City"
2019-11-02,"Bournemouth","Manchester Utd","Joshua King",45,"Bournemouth"
2019-12-01,"Norwich City","Arsenal","Todd Cantwell",45,"Norwich City"
2019-12-04,"Liverpool","Everton","Sadio Mané",45,"Liverpool"
2019-12-28,"West Ham","Leicester City","Pablo Fornals",45,"West Ham"
2020-01-18,"Arsenal","Sheffield Utd","Martinelli",45,"Arsenal"
2020-01-22,"Leicester City","West Ham","Ricardo Pereira",45,"Leicester City"
2020-02-01,"West Ham","Brighton","Robert Snodgrass",45,"West Ham"
2020-02-09,"Sheffield Utd","Bournemouth","Billy Sharp",45,"Sheffield Utd"
2020-03-01,"Tottenham","Wolves","Serge Aurier",45,"Tottenham"
2020-06-17,"Manchester City","Arsenal","Raheem Sterling",45,"Manchester City"
2020-07-01,"West Ham","Chelsea","Tomáš Souček",45,"West Ham"
2020-07-04,"Manchester Utd","Bournemouth","Anthony Martial",45,"Manchester Utd"
2020-07-08,"Brighton","Liverpool","Leandro Trossard",45,"Brighton"
2020-07-12,"Wolves","Everton","Raúl Jiménez (P)",45,"Wolves"
2020-07-12,"Aston Villa","Crystal Palace","Trézéguet",45,"Aston Villa"
2020-07-14,"Chelsea","Norwich City","Olivier Giroud",45,"Chelsea"
2020-07-18,"Norwich City","Burnley","Josip Drmić",45,"Norwich City"
2020-07-26,"Chelsea","Wolves","Mason Mount",45,"Chelsea"
2020-07-26,"Chelsea","Wolves","Olivier Giroud",45,"Chelsea"
2020-07-26,"Manchester City","Norwich City","Kevin De Bruyne",45,"Manchester City"
2019-09-22,"Crystal Palace","Wolves","Leander Dendoncker (OG)",46,"Crystal Palace"
2019-09-28,"Bournemouth","West Ham","Callum Wilson",46,"Bournemouth"
2019-10-26,"Manchester City","Aston Villa","Raheem Sterling",46,"Manchester City"
2020-02-23,"Arsenal","Everton","Pierre-Emerick Aubameyang",46,"Arsenal"
2020-07-12,"Wolves","Everton","Leander Dendoncker",46,"Wolves"
2019-08-18,"Sheffield Utd","Crystal Palace","John Lundstram",47,"Sheffield Utd"
2020-02-01,"Liverpool","Southampton","Alex Oxlade-Chamberlain",47,"Liverpool"
2019-12-04,"Chelsea","Aston Villa","Mason Mount",48,"Chelsea"
2020-02-22,"Chelsea","Tottenham","Marcos Alonso",48,"Chelsea"
2019-08-24,"Liverpool","Arsenal","Mohamed Salah (P)",49,"Liverpool"
2019-12-04,"Manchester Utd","Tottenham","Marcus Rashford (P)",49,"Manchester Utd"
2019-12-07,"Everton","Chelsea","Dominic Calvert-Lewin",49,"Everton"
2020-01-01,"Watford","Wolves","Abdoulaye Doucouré",49,"Watford"
2020-07-04,"Leicester City","Crystal Palace","Kelechi Iheanacho",49,"Leicester City"
2019-09-01,"Everton","Wolves","Richarlison",5,"Everton"
2019-12-07,"Everton","Chelsea","Richarlison",5,"Everton"
2020-07-26,"Arsenal","Watford","Pierre-Emerick Aubameyang (P)",5,"Arsenal"
2019-09-14,"Norwich City","Manchester City","Teemu Pukki",50,"Norwich City"
2019-09-28,"Chelsea","Brighton","Jorginho (P)",50,"Chelsea"
2019-11-09,"Southampton","Everton","Danny Ings",50,"Southampton"
2019-11-30,"Tottenham","Bournemouth","Dele Alli",50,"Tottenham"
2019-12-05,"Arsenal","Brighton","Alexandre Lacazette",50,"Arsenal"
2019-12-14,"Sheffield Utd","Aston Villa","John Fleck",50,"Sheffield Utd"
2019-12-22,"Watford","Manchester Utd","Ismaila Sarr",50,"Watford"
2020-07-26,"Southampton","Sheffield Utd","Che Adams",50,"Southampton"
2019-09-14,"Brighton","Burnley","Neal Maupay",51,"Brighton"
2019-11-10,"Liverpool","Manchester City","Sadio Mané",51,"Liverpool"
2020-01-01,"Manchester City","Everton","Gabriel Jesus",51,"Manchester City"
2020-01-23,"Wolves","Liverpool","Raúl Jiménez",51,"Wolves"
2020-06-17,"Manchester City","Arsenal","Kevin De Bruyne (P)",51,"Manchester City"
2020-07-01,"West Ham","Chelsea","Michail Antonio",51,"West Ham"
2020-07-22,"Manchester Utd","West Ham","Mason Greenwood",51,"Manchester Utd"
2019-10-27,"Liverpool","Tottenham","Jordan Henderson",52,"Liverpool"
2019-11-09,"Chelsea","Crystal Palace","Tammy Abraham",52,"Chelsea"
2019-11-09,"Newcastle Utd","Bournemouth","Ciaran Clark",52,"Newcastle Utd"
2019-11-24,"Sheffield Utd","Manchester Utd","Lys Mousset",52,"Sheffield Utd"
2019-12-29,"Manchester City","Sheffield Utd","Sergio Agüero",52,"Manchester City"
2020-01-11,"Manchester Utd","Norwich City","Marcus Rashford (P)",52,"Manchester Utd"
2020-07-11,"Watford","Newcastle Utd","Troy Deeney (P)",52,"Watford"
2019-12-26,"Tottenham","Brighton","Harry Kane",53,"Tottenham"
2020-01-10,"Sheffield Utd","West Ham","Oliver McBurnie",53,"Sheffield Utd"
2020-02-22,"Burnley","Bournemouth","Matěj Vydra",53,"Burnley"
2020-07-26,"Crystal Palace","Tottenham","Jeffrey Schlupp",53,"Crystal Palace"
2019-09-29,"Leicester City","Newcastle Utd","Jamie Vardy",54,"Leicester City"
2019-10-05,"West Ham","Crystal Palace","Sébastien Haller",54,"West Ham"
2019-12-22,"Watford","Manchester Utd","Troy Deeney (P)",54,"Watford"
2020-01-11,"Crystal Palace","Arsenal","Jordan Ayew",54,"Crystal Palace"
2020-01-21,"Everton","Newcastle Utd","Dominic Calvert-Lewin",54,"Everton"
2020-02-01,"Leicester City","Chelsea","Harvey Barnes",54,"Leicester City"
2020-02-16,"Arsenal","Newcastle Utd","Pierre-Emerick Aubameyang",54,"Arsenal"
2020-02-29,"Bournemouth","Chelsea","Jefferson Lerma",54,"Bournemouth"
2020-02-29,"West Ham","Southampton","Michail Antonio",54,"West Ham"
2020-02-29,"Watford","Liverpool","Ismaila Sarr",54,"Watford"
2020-07-04,"Manchester Utd","Bournemouth","Mason Greenwood",54,"Manchester Utd"
2019-08-19,"Wolves","Manchester Utd","Rúben Neves",55,"Wolves"
2019-12-04,"Leicester City","Watford","Jamie Vardy (P)",55,"Leicester City"
2020-06-21,"Newcastle Utd","Sheffield Utd","Allan Saint-Maximin",55,"Newcastle Utd"
2020-07-07,"Watford","Norwich City","Danny Welbeck",55,"Watford"
2019-08-31,"West Ham","Norwich City","Andriy Yarmolenko",56,"West Ham"
2019-12-28,"Newcastle Utd","Everton","Fabian Schär",56,"Newcastle Utd"
2020-01-19,"Burnley","Leicester City","Chris Wood",56,"Burnley"
2020-07-15,"Newcastle Utd","Tottenham","Matt Ritchie",56,"Newcastle Utd"
2019-09-29,"Leicester City","Newcastle Utd","Paul Dummett (OG)",57,"Leicester City"
2019-12-28,"Watford","Aston Villa","Adrian Mariappa",57,"Watford"
2020-02-01,"West Ham","Brighton","Robert Snodgrass",57,"West Ham"
2020-02-16,"Arsenal","Newcastle Utd","Nicolas Pépé",57,"Arsenal"
2020-02-29,"Bournemouth","Chelsea","Joshua King",57,"Bournemouth"
2019-08-31,"Southampton","Manchester Utd","Jannik Vestergaard",58,"Southampton"
2019-11-09,"Tottenham","Sheffield Utd","Son Heung-min",58,"Tottenham"
2019-12-14,"Burnley","Newcastle Utd","Chris Wood",58,"Burnley"
2020-01-01,"Manchester City","Everton","Gabriel Jesus",58,"Manchester City"
2020-02-08,"Everton","Crystal Palace","Richarlison",58,"Everton"
2020-02-23,"Manchester Utd","Watford","Anthony Martial",58,"Manchester Utd"
2019-09-22,"Arsenal","Aston Villa","Nicolas Pépé (P)",59,"Arsenal"
2019-11-23,"Bournemouth","Wolves","Steve Cook",59,"Bournemouth"
2020-07-12,"Aston Villa","Crystal Palace","Trézéguet",59,"Aston Villa"
2019-08-24,"Norwich City","Chelsea","Todd Cantwell",6,"Norwich City"
2019-12-04,"Manchester Utd","Tottenham","Marcus Rashford",6,"Manchester Utd"
2019-12-04,"Liverpool","Everton","Divock Origi",6,"Liverpool"
2020-07-15,"Manchester City","Bournemouth","David Silva",6,"Manchester City"
2020-07-17,"West Ham","Watford","Michail Antonio",6,"West Ham"
2020-02-01,"Liverpool","Southampton","Jordan Henderson",60,"Liverpool"
2020-02-29,"Watford","Liverpool","Ismaila Sarr",60,"Watford"
2020-06-24,"Wolves","Bournemouth","Raúl Jiménez",60,"Wolves"
2019-09-28,"Wolves","Watford","Daryl Janmaat (OG)",61,"Wolves"
2019-10-19,"Wolves","Southampton","Raúl Jiménez (P)",61,"Wolves"
2019-12-28,"Norwich City","Tottenham","Serge Aurier (OG)",61,"Norwich City"
2020-02-22,"Burnley","Bournemouth","Jay Rodriguez (P)",61,"Burnley"
2019-08-10,"Bournemouth","Sheffield Utd","Chris Mepham",62,"Bournemouth"
2019-08-24,"Sheffield Utd","Leicester City","Oliver McBurnie",62,"Sheffield Utd"
2020-02-19,"Manchester City","West Ham","Kevin De Bruyne",62,"Manchester City"
2019-08-10,"Burnley","Southampton","Ashley Barnes",63,"Burnley"
2019-08-17,"Norwich City","Newcastle Utd","Teemu Pukki",63,"Norwich City"
2020-02-02,"Tottenham","Manchester City","Steven Bergwijn",63,"Tottenham"
2020-03-09,"Leicester City","Aston Villa","Jamie Vardy (P)",63,"Leicester City"
